Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,GPA_Change,GPA_Change_Category,Total_Study_Hours,AI_Study_Ratio,AI_Study_Ratio_Percent,AI_Hours_Group,AI_Usage_Intensity,Traditional_Study_Group,Study_Profile
100001,Humanities,Senior,2.418,23.31,Copywriting/Drafting,Beginner,1,True,8.13,5,Allowed_With_Citation,6,2.393,86.44,High,-0.025000000000000355,Stable,31.439999999999998,0.7414122137404581,74.14122137404581,15h+,Very High,5-10h,AI-Heavy
100002,Medical,Junior,3.821,1.12,Ideation,Advanced,5,False,16.65,3,Allowed_With_Citation,9,3.696,69.39,Low,-0.125,Declined,17.77,0.0630275745638717,6.30275745638717,0-2h,Very Low,15-20h,Mostly Traditional
100003,Business,Freshman,3.398,21.26,Summarizing_Reading,Beginner,2,False,10.35,5,Strict_Ban,9,3.499,73.93,Medium,0.10099999999999998,Improved,31.61,0.6725719708952863,67.25719708952863,15h+,Very High,10-15h,AI-Heavy
100004,Business,Senior,3.789,1.82,Copywriting/Drafting,Intermediate,4,False,15.23,2,Allowed_With_Citation,2,4.0,63.58,Medium,0.21099999999999985,Improved,17.05,0.10674486803519062,10.674486803519063,0-2h,Very Low,15-20h,Mostly Traditional
100005,STEM,Sophomore,3.635,9.29,Debugging/Troubleshooting,Advanced,4,False,12.55,4,Allowed_With_Citation,4,3.798,100.0,Medium,0.16300000000000026,Improved,21.84,0.42536630036630035,42.53663003663004,5-10h,Moderate,10-15h,Balanced
100006,STEM,Junior,3.449,6.5,Debugging/Troubleshooting,Beginner,1,False,14.19,4,Allowed_With_Citation,5,3.666,65.92,High,0.21700000000000008,Improved,20.689999999999998,0.31416143064282265,31.416143064282267,5-10h,Moderate,10-15h,Balanced
100007,STEM,Freshman,3.622,31.41,Summarizing_Reading,Advanced,5,True,13.11,8,Allowed_With_Citation,7,4.0,67.97,Medium,0.3780000000000001,Improved,44.519999999999996,0.7055256064690028,70.55256064690028,15h+,Very High,10-15h,AI-Heavy
100008,Arts,Junior,2.746,5.33,Copywriting/Drafting,Intermediate,3,False,18.45,2,Actively_Encouraged,1,2.965,85.09,Medium,0.21899999999999986,Improved,23.78,0.22413793103448276,22.413793103448278,5-10h,Moderate,15-20h,Mostly Traditional
100009,Business,Sophomore,3.42,2.0,Debugging/Troubleshooting,Beginner,2,True,2.87,1,Strict_Ban,5,3.396,55.71,Medium,-0.02400000000000002,Stable,4.87,0.4106776180698152,41.067761806981515,2-5h,Low,0-5h,Balanced
100010,Business,Sophomore,3.046,19.99,Debugging/Troubleshooting,Intermediate,2,True,12.49,3,Strict_Ban,8,2.978,87.18,High,-0.06799999999999962,Declined,32.48,0.6154556650246306,61.54556650246305,15h+,Very High,10-15h,AI-Heavy
100011,STEM,Graduate,3.407,5.16,Summarizing_Reading,Advanced,3,False,11.43,5,Allowed_With_Citation,3,3.617,95.42,High,0.20999999999999996,Improved,16.59,0.31103074141048825,31.103074141048825,5-10h,Moderate,10-15h,Balanced
100012,Medical,Junior,2.627,3.62,Direct_Answer_Generation,Intermediate,3,False,8.05,3,Actively_Encouraged,3,2.699,72.41,Medium,0.07200000000000006,Improved,11.670000000000002,0.3101970865467009,31.01970865467009,2-5h,Low,5-10h,Balanced
100013,Arts,Senior,3.479,2.86,Copywriting/Drafting,Beginner,2,False,8.95,2,Actively_Encouraged,4,3.612,67.68,High,0.133,Improved,11.809999999999999,0.24216765453005928,24.216765453005927,2-5h,Low,5-10h,Mostly Traditional
100014,STEM,Junior,3.225,8.95,Direct_Answer_Generation,Beginner,1,False,25.3,2,Allowed_With_Citation,3,3.935,64.47,Medium,0.71,Improved,34.25,0.26131386861313866,26.131386861313864,5-10h,Moderate,20h+,Balanced
100015,STEM,Freshman,3.202,1.22,Copywriting/Drafting,Beginner,1,False,16.52,2,Allowed_With_Citation,4,3.122,70.7,Low,-0.08000000000000007,Declined,17.74,0.06877113866967306,6.877113866967306,0-2h,Very Low,15-20h,Mostly Traditional
100016,STEM,Senior,2.076,14.74,Debugging/Troubleshooting,Beginner,1,True,12.59,4,Allowed_With_Citation,4,2.228,70.66,Medium,0.15200000000000014,Improved,27.33,0.5393340651298939,53.93340651298939,10-15h,Moderate,10-15h,AI-Heavy
100017,Humanities,Sophomore,2.931,2.08,Direct_Answer_Generation,Advanced,3,False,15.15,5,Strict_Ban,8,3.214,59.69,Medium,0.2829999999999999,Improved,17.23,0.12071967498549042,12.071967498549043,2-5h,Low,15-20h,Mostly Traditional
100018,Business,Senior,3.156,8.03,Direct_Answer_Generation,Advanced,4,False,10.7,4,Allowed_With_Citation,5,3.39,90.65,Medium,0.23399999999999999,Improved,18.729999999999997,0.4287239722370529,42.87239722370529,5-10h,Moderate,10-15h,Balanced
100019,Humanities,Junior,2.975,0.51,Summarizing_Reading,Beginner,1,False,10.84,1,Allowed_With_Citation,2,3.412,53.95,Medium,0.43699999999999983,Improved,11.35,0.044933920704845816,4.493392070484582,0-2h,Very Low,10-15h,Mostly Traditional
100020,STEM,Sophomore,3.305,0.2,Debugging/Troubleshooting,Intermediate,4,False,3.69,1,Allowed_With_Citation,4,3.187,74.23,Medium,-0.11800000000000033,Declined,3.89,0.05141388174807198,5.141388174807198,0-2h,Very Low,0-5h,Mostly Traditional
