,Pre_Semester_GPA,Post_Semester_GPA,GPA_Change,Weekly_GenAI_Hours,Traditional_Study_Hours,Total_Study_Hours,AI_Study_Ratio,AI_Study_Ratio_Percent,Tool_Diversity,Perceived_AI_Dependency,Anxiety_Level_During_Exams,Skill_Retention_Score
Pre_Semester_GPA,1.0,0.927,-0.104,-0.001,-0.005,-0.004,0.002,0.002,-0.006,0.001,-0.001,0.099
Post_Semester_GPA,0.927,1.0,0.277,-0.019,0.138,0.062,-0.058,-0.058,0.025,-0.014,-0.016,0.17
GPA_Change,-0.104,0.277,1.0,-0.046,0.376,0.172,-0.158,-0.158,0.081,-0.039,-0.04,0.196
Weekly_GenAI_Hours,-0.001,-0.019,-0.046,1.0,-0.157,0.826,0.807,0.807,0.008,0.665,0.269,-0.118
Traditional_Study_Hours,-0.005,0.138,0.376,-0.157,1.0,0.427,-0.54,-0.54,0.004,-0.103,-0.041,0.148
Total_Study_Hours,-0.004,0.062,0.172,0.826,0.427,1.0,0.431,0.431,0.01,0.551,0.223,-0.024
AI_Study_Ratio,0.002,-0.058,-0.158,0.807,-0.54,0.431,1.0,1.0,0.005,0.53,0.215,-0.11
AI_Study_Ratio_Percent,0.002,-0.058,-0.158,0.807,-0.54,0.431,1.0,1.0,0.005,0.53,0.215,-0.11
Tool_Diversity,-0.006,0.025,0.081,0.008,0.004,0.01,0.005,0.005,1.0,0.006,0.003,0.197
Perceived_AI_Dependency,0.001,-0.014,-0.039,0.665,-0.103,0.551,0.53,0.53,0.006,1.0,0.308,-0.084
Anxiety_Level_During_Exams,-0.001,-0.016,-0.04,0.269,-0.041,0.223,0.215,0.215,0.003,0.308,1.0,-0.042
Skill_Retention_Score,0.099,0.17,0.196,-0.118,0.148,-0.024,-0.11,-0.11,0.197,-0.084,-0.042,1.0
