,Balanced_minus_Mostly_Traditional,Balanced_minus_AI_Heavy
students,-1829.0,282.0
avg_traditional_hours,-1.607000000000001,4.2459999999999996
avg_ai_hours,5.175,-9.829999999999998
avg_total_study_hours,3.5679999999999996,-5.584
avg_ai_study_ratio_percent,24.6,-31.099999999999994
avg_gpa_change,0.010000000000000009,0.066
avg_skill_retention,0.6430000000000007,3.347999999999999
avg_dependency,0.7170000000000001,-1.4409999999999998
avg_anxiety,0.29700000000000015,-0.7610000000000001
high_burnout_rate_percent,9.799999999999999,-28.6
